state_name,jurisdiction_name,agency_name,fee_name,calc_type,rate,unit_label,applies_to,use_subtype,min_units,max_units,min_sqft,max_sqft,service_area_name,description,source_url,legal_citation,effective_date
Colorado,Denver,Department of Transportation and Infrastructure - Wastewater Management,Sewer Permit Fee - Residential (per unit),per unit,6320,per unit,"Residential Development (SFR, Duplex, temporary construction trailers and three (3) or more Unit Buildings with Denver Water approved individual water taps or manifold system)",,,,,,,Per unit fees for Sanitary sewer services availability fee (SAFE Fee) and Metro Water Recovery District Fee (METRO Fee).,https://www.denvergov.org/files/assets/public/v/2/doti/documents/permits/sudp/sewer_tap_fees_for_2025.pdf,,2025-01-01
Colorado,Denver,Department of Transportation and Infrastructure - Wastewater Management,"Sewer Permit Fee - Commercial/Multi-Residential (1.5"" Tap)",per tap size,69520,per tap size,"Commercial, Mixed Use & Multi-Residential Developments (three (3) or more Unit Buildings)","1.5"" Tap",,,,,,"SUDP Fees based on domestic water meter size and Single Family Residence Equivalent (SFRE) assigned, including SAFE Fee and METRO Fee components. Tap sizes listed as 3/4"", 1"", 1.5"", 2"", 3"", 4""",https://www.denvergov.org/files/assets/public/v/2/doti/documents/permits/sudp/sewer_tap_fees_for_2025.pdf,,2025-01-01
Colorado,Denver,Department of Transportation and Infrastructure - Wastewater Management,"Sewer Permit Fee - Commercial/Multi-Residential (3"" Tap)",per tap size,271760,per tap size,"Commercial, Mixed Use & Multi-Residential Developments (three (3) or more Unit Buildings)","3"" Tap",,,,,,"SUDP Fees based on domestic water meter size and Single Family Residence Equivalent (SFRE) assigned, including SAFE Fee and METRO Fee components. Tap sizes listed as 3/4"", 1"", 1.5"", 2"", 3"", 4""",https://www.denvergov.org/files/assets/public/v/2/doti/documents/permits/sudp/sewer_tap_fees_for_2025.pdf,,2025-01-01
Colorado,Denver,Department of Transportation and Infrastructure - Wastewater Management,"Sewer Permit Fee - Commercial/Multi-Residential (3/4"" Tap)",per tap size,12640,per tap size,"Commercial, Mixed Use & Multi-Residential Developments (three (3) or more Unit Buildings)","3/4"" Tap",,,,,,"SUDP Fees based on domestic water meter size and Single Family Residence Equivalent (SFRE) assigned, including SAFE Fee and METRO Fee components. Tap sizes listed as 3/4"", 1"", 1.5"", 2"", 3"", 4""",https://www.denvergov.org/files/assets/public/v/2/doti/documents/permits/sudp/sewer_tap_fees_for_2025.pdf,,2025-01-01
Colorado,Denver,Department of Transportation and Infrastructure - Wastewater Management,"Sewer Permit Fee - Commercial/Multi-Residential (1"" Tap)",per tap size,30336,per tap size,"Commercial, Mixed Use & Multi-Residential Developments (three (3) or more Unit Buildings)","1"" Tap",,,,,,"SUDP Fees based on domestic water meter size and Single Family Residence Equivalent (SFRE) assigned, including SAFE Fee and METRO Fee components. Tap sizes listed as 3/4"", 1"", 1.5"", 2"", 3"", 4""",https://www.denvergov.org/files/assets/public/v/2/doti/documents/permits/sudp/sewer_tap_fees_for_2025.pdf,,2025-01-01
Colorado,Denver,Department of Transportation and Infrastructure - Wastewater Management,"Sewer Permit Fee - Commercial/Multi-Residential (4"" Tap)",per tap size,543520,per tap size,"Commercial, Mixed Use & Multi-Residential Developments (three (3) or more Unit Buildings)","4"" Tap",,,,,,"SUDP Fees based on domestic water meter size and Single Family Residence Equivalent (SFRE) assigned, including SAFE Fee and METRO Fee components. Tap sizes listed as 3/4"", 1"", 1.5"", 2"", 3"", 4""",https://www.denvergov.org/files/assets/public/v/2/doti/documents/permits/sudp/sewer_tap_fees_for_2025.pdf,,2025-01-01
Colorado,Denver,Department of Transportation and Infrastructure - Wastewater Management,"Sewer Permit Fee - Commercial/Multi-Residential (2"" Tap)",per tap size,126400,per tap size,"Commercial, Mixed Use & Multi-Residential Developments (three (3) or more Unit Buildings)","2"" Tap",,,,,,"SUDP Fees based on domestic water meter size and Single Family Residence Equivalent (SFRE) assigned, including SAFE Fee and METRO Fee components. Tap sizes listed as 3/4"", 1"", 1.5"", 2"", 3"", 4""",https://www.denvergov.org/files/assets/public/v/2/doti/documents/permits/sudp/sewer_tap_fees_for_2025.pdf,,2025-01-01
Colorado,Denver,Denver Water,Private Fireline - Monthly Charge (Outside City - Total Service),per month,27.62,per month,Residential,8″ Fireline,,,,,Outside City - Total Service,Monthly charge for private fireline service with 8″ fireline size for Outside City - Total Service.,https://www.denverwater.org/residential/billing-and-rates/2025-rates,,2025-01-01
Colorado,Denver,Denver Water,Private Fireline - Monthly Charge (Outside City - Total Service),per month,157.81,per month,Residential,16″ Fireline,,,,,Outside City - Total Service,Monthly charge for private fireline service with 16″ fireline size for Outside City - Total Service.,https://www.denverwater.org/residential/billing-and-rates/2025-rates,,2025-01-01
Colorado,Denver,Denver Water,Treated Water Volume Rate - Residential Tier 1 (Outside City - Total Service),"per 1,000 gallons",4.3,"per 1,000 gallons",Single-Family Residential Customers,,,,,,,Tier 1 rate for treated water volume for monthly consumption from 0 to average winter consumption (AWC) for Outside City - Total Service.,https://www.denverwater.org/residential/billing-and-rates/2025-rates,,2025-01-01
Colorado,Denver,Denver Water,Treated Water Volume Rate - Residential Tier 2 (Outside City - Read & Bill),"per 1,000 gallons",5.36,"per 1,000 gallons",Single-Family Residential Customers,,,,,,,"Tier 2 rate for treated water volume for monthly consumption of AWC + 15,000 gallons for Outside City - Read & Bill service.",https://www.denverwater.org/residential/billing-and-rates/2025-rates,,2025-01-01
Colorado,Denver,Denver Water,Treated Water Volume Rate - Master Meter (Outside City - Wholesale),"per 1,000 gallons",5.08,"per 1,000 gallons",Master Meter,,,,,,,Treated water volume rate for Master Meter customers for Outside City - Wholesale service.,https://www.denverwater.org/residential/billing-and-rates/2025-rates,,2025-01-01
Colorado,Denver,Denver Water,Private Fireline - Monthly Charge (Outside City - Read & Bill),per month,2.57,per month,Residential,1″ Fireline,,,,,Outside City - Read & Bill,Monthly charge for private fireline service with 1″ fireline size for Outside City - Read & Bill service.,https://www.denverwater.org/residential/billing-and-rates/2025-rates,,2025-01-01
Colorado,Denver,Denver Water,Monthly Fixed Charge - Residential (Outside City - Wholesale),per month,54.79,per month,Residential,1 ½″ Meter,,,,,Outside City - Wholesale,Monthly fixed charge for residential water service with 1 ½″ meter for Outside City - Wholesale service.,https://www.denverwater.org/residential/billing-and-rates/2025-rates,,2025-01-01
Colorado,Denver,Denver Water,Private Fireline - Monthly Charge (Outside City - Total Service),per month,63.13,per month,Residential,12″ Fireline,,,,,Outside City - Total Service,Monthly charge for private fireline service with 12″ fireline size for Outside City - Total Service.,https://www.denverwater.org/residential/billing-and-rates/2025-rates,,2025-01-01
Colorado,Denver,Denver Water,Private Fireline - Monthly Charge (Outside City - Read & Bill),per month,94.8,per month,Residential,16″ Fireline,,,,,Outside City - Read & Bill,Monthly charge for private fireline service with 16″ fireline size for Outside City - Read & Bill service.,https://www.denverwater.org/residential/billing-and-rates/2025-rates,,2025-01-01
Colorado,Denver,Denver Water,Private Fireline - Monthly Charge (Outside City - Total Service),per month,15.78,per month,Residential,Fire Hydrants,,,,,Outside City - Total Service,Monthly charge for private fireline service for fire hydrants for Outside City - Total Service.,https://www.denverwater.org/residential/billing-and-rates/2025-rates,,2025-01-01
Colorado,Denver,Denver Water,Monthly Fixed Charge - Residential (Outside City - Total Service),per month,198.62,per month,Residential,3″ Meter,,,,,Outside City - Total Service,Monthly fixed charge for residential water service with 3″ meter for Outside City - Total Service.,https://www.denverwater.org/residential/billing-and-rates/2025-rates,,2025-01-01
Colorado,Denver,Denver Water,Monthly Fixed Charge - Residential (Outside City - Read & Bill),per month,54.79,per month,Residential,1 ½″ Meter,,,,,Outside City - Read & Bill,Monthly fixed charge for residential water service with 1 ½″ meter for Outside City - Read & Bill service.,https://www.denverwater.org/residential/billing-and-rates/2025-rates,,2025-01-01
Colorado,Denver,Denver Water,Private Fireline - Monthly Charge (Inside City of Denver),per month,24.36,per month,Residential,8″ Fireline,,,,,Inside City of Denver,Monthly charge for private fireline service with 8″ fireline size.,https://www.denverwater.org/residential/billing-and-rates/2025-rates,,2025-01-01
Colorado,Denver,Denver Water,Monthly Fixed Charge - Residential (Inside City of Denver),per month,19.06,per month,Residential,⅝″ & ¾″ Meter,,,,,Inside City of Denver,Monthly fixed charge for residential water service with ⅝″ or ¾″ meter.,https://www.denverwater.org/residential/billing-and-rates/2025-rates,,2025-01-01
Colorado,Denver,Denver Water,Monthly Fixed Charge - Residential (Outside City - Total Service),per month,774.79,per month,Residential,6″ Meter,,,,,Outside City - Total Service,Monthly fixed charge for residential water service with 6″ meter for Outside City - Total Service.,https://www.denverwater.org/residential/billing-and-rates/2025-rates,,2025-01-01
