state_name,jurisdiction_name,agency_name,fee_name,calc_type,rate,unit_label,applies_to,use_subtype,min_units,max_units,min_sqft,max_sqft,service_area_name,description,source_url,legal_citation,effective_date
California,Los Angeles,Department of Water and Power,Monthly Water Base Charge,flat_fee,0,per month,Residential,,,,,,Citywide,"The Los Angeles Department of Water and Power (LADWP) does not impose a fixed monthly base charge for residential water service by meter size, except for private fire service.",https://d1q0afiq12ywwq.cloudfront.net/media/11844/los-angeles-department-of-water-and-power.pdf,Metropolitan Water District of Southern California Water Rates Document,
California,Los Angeles,Bureau of Sanitation,Sewer Connection Permit Fee,flat_fee,273,per permit,,,,,,,,Permit fee for connection to an existing sewer line at the property line or to an existing storm drain or catch basin.,https://codelibrary.amlegal.com/codes/los_angeles/latest/lamc/0-0-0-160779,LAMC 64.15,
California,Los Angeles,Bureau of Sanitation,Sewer Service Charge - Single-Family Households (July 2028),per_unit,155.48,bi-monthly household,Residential,Single-Family Detached,,,,,Citywide,"Bi-monthly sewer service charge for single-family households, increasing to $155.48 by July 2028.",https://lakebalboanc.org/2024/09/los-angeles-city-council-approves-sewer-service-rate-hikes-starting-in-october/,Los Angeles City Council approval (Sept. 10),2028-07-01
California,Los Angeles,Bureau of Sanitation,Sewer Service Charge - Single-Family Households (October 2024),per_unit,92.04,bi-monthly household,Residential,Single-Family Detached,,,,,Citywide,"Bi-monthly sewer service charge for single-family households, increasing from $75.40 to $92.04 starting October 2024.",https://lakebalboanc.org/2024/09/los-angeles-city-council-approves-sewer-service-rate-hikes-starting-in-october/,Los Angeles City Council approval (Sept. 10),2024-10-01
California,Los Angeles,Department of Water and Power,Water Service and Meter Installation Fee - 4 inch Standard,flat_fee,46010,per connection,Residential,,,,,,Citywide,Water Service and Meter Installation for 4 inch Standard meter.,https://www.ladwp.com/sites/default/files/2024-07/Schedule%20of%20Charges%20for%20Water%20Facilities%20-%20Fiscal%20Year%202024-2025.pdf,SCHEDULE OF CHARGES FOR WATER FACILITIES - FISCAL YEAR 2024/2025,2024-07-01
California,Los Angeles,Department of Water and Power,Water Service and Meter Installation Fee - 6 inch Non-Standard,flat_fee,54256,per connection,Residential,,,,,,Citywide,Water Service and Meter Installation for 6 inch Non-Standard meter.,https://www.ladwp.com/sites/default/files/2024-07/Schedule%20of%20Charges%20for%20Water%20Facilities%20-%20Fiscal%20Year%202024-2025.pdf,SCHEDULE OF CHARGES FOR WATER FACILITIES - FISCAL YEAR 2024/2025,2024-07-01
California,Los Angeles,Department of Water and Power,Water Service and Meter Installation Fee - 4 inch Non-Standard,flat_fee,44322,per connection,Residential,,,,,,Citywide,Water Service and Meter Installation for 4 inch Non-Standard meter.,https://www.ladwp.com/sites/default/files/2024-07/Schedule%20of%20Charges%20for%20Water%20Facilities%20-%20Fiscal%20Year%202024-2025.pdf,SCHEDULE OF CHARGES FOR WATER FACILITIES - FISCAL YEAR 2024/2025,2024-07-01
California,Los Angeles,Department of Water and Power,Water Service and Meter Installation Fee - 1 inch Intermediate,flat_fee,6726,per connection,Residential,,,,,,Citywide,Water Service and Meter Installation for 1 inch Intermediate meter.,https://www.ladwp.com/sites/default/files/2024-07/Schedule%20of%20Charges%20for%20Water%20Facilities%20-%20Fiscal%20Year%202024-2025.pdf,SCHEDULE OF CHARGES FOR WATER FACILITIES - FISCAL YEAR 2024/2025,2024-07-01
California,Los Angeles,Department of Water and Power,Water Service and Meter Installation Fee - 2 inch,flat_fee,10586,per connection,Residential,,,,,,Citywide,Water Service and Meter Installation for 2 inch meter.,https://www.ladwp.com/sites/default/files/2024-07/Schedule%20of%20Charges%20for%20Water%20Facilities%20-%20Fiscal%20Year%202024-2025.pdf,SCHEDULE OF CHARGES FOR WATER FACILITIES - FISCAL YEAR 2024/2025,2024-07-01
California,Los Angeles,Department of Water and Power,Water Service and Meter Installation Fee - 6 inch Standard,flat_fee,46124,per connection,Residential,,,,,,Citywide,Water Service and Meter Installation for 6 inch Standard meter.,https://www.ladwp.com/sites/default/files/2024-07/Schedule%20of%20Charges%20for%20Water%20Facilities%20-%20Fiscal%20Year%202024-2025.pdf,SCHEDULE OF CHARGES FOR WATER FACILITIES - FISCAL YEAR 2024/2025,2024-07-01
