state_name,jurisdiction_name,agency_name,fee_name,calc_type,rate,unit_label,applies_to,use_subtype,min_units,max_units,min_sqft,max_sqft,service_area_name,description,source_url,legal_citation,effective_date
Texas,Austin,Austin Water,"Meter Tap & Reconnection Fee - 5/8"" Meter",per_meter_size,189.65,flat fee,Residential,,,,,,Citywide,"Meter Tap & Reconnection Fee for 5/8"" meter.",https://www.austintexas.gov/sites/default/files/files/Water/Taps/Taps%20Website%20Impact%20Fee.pdf,Taps Website Impact Fee PDF (FY2024),
Texas,Austin,Austin Water,AW Inspection Fee - Residential Service,flat_fee,102.2,flat fee,Residential,,,,,,Citywide,AW Inspection Fee for Residential Service only.,https://www.austintexas.gov/sites/default/files/files/Water/Taps/Taps%20Website%20Impact%20Fee.pdf,Taps Website Impact Fee PDF (FY2024),
Texas,Austin,Austin Water,"Meter Tap & Reconnection Fee - 3/4"" Meter",per_meter_size,189.65,flat fee,Residential,,,,,,Citywide,"Meter Tap & Reconnection Fee for 3/4"" meter.",https://www.austintexas.gov/sites/default/files/files/Water/Taps/Taps%20Website%20Impact%20Fee.pdf,Taps Website Impact Fee PDF (FY2024),
Texas,Austin,Austin Watershed Protection,Environmental Reinspection Fee (Residential) - Site/Plan Reviews,flat_fee,214.18,flat fee,Residential,,,,,,Citywide,Environmental Reinspection Fee (Residential) for Site/Plan Reviews.,https://services.austintexas.gov/edims/document.cfm?id=456796,FY 2025-26 Fee Schedule Amendments,2025-10-01
Texas,Austin,Austin Parks and Recreation,Parkland Dedication Fee In-Lieu - Single-Family Residential Low Density,per_unit,7114.16,per unit,Residential,,,,,,Citywide,"Parkland Dedication Fee In-Lieu of Parkland Dedication for Low Density Single-Family Residential. (2.8 PPH X $2,540.77 = $7,114.16 per unit).",https://services.austintexas.gov/edims/document.cfm?id=456796,FY 2025-26 Fee Schedule Amendments,2025-10-01
Texas,Austin,Austin Transportation and Public Works,Transportation User Fee - Townhouse/Condominium,per_unit,16.35,per month,Residential,Townhouse/Condominium,,,,,Citywide,Monthly Transportation User Fee for Townhouse/Condominium residential properties.,https://services.austintexas.gov/edims/document.cfm?id=456796,FY 2025-26 Fee Schedule Amendments,2025-10-01
Texas,Austin,Austin Transportation and Public Works,Transportation User Fee - Mobile Home,per_unit,14.03,per month,Residential,Mobile Home,,,,,Citywide,Monthly Transportation User Fee for Mobile Home residential properties.,https://services.austintexas.gov/edims/document.cfm?id=456796,FY 2025-26 Fee Schedule Amendments,2025-10-01
Texas,Austin,Austin Development Services,"Project Consent Agreement (PCA) SOS Amendment/Restrictive Covenant/PCA/PDA/MGA, Annexations or amendments",flat_fee,12750,Full Cost,Residential,,,,,,Citywide,"Project Consent Agreement (PCA) SOS Amendment/Restrictive Covenant/PCA/PDA/MGA, Annexations or amendments to any listed.",https://services.austintexas.gov/edims/document.cfm?id=456796,FY 2025-26 Fee Schedule Amendments,2025-10-01
Texas,Austin,Austin Transportation and Public Works,Transportation User Fee - Triplex,per_unit,16.34,per month,Residential,Triplex,,,,,Citywide,Monthly Transportation User Fee for Triplex residential properties.,https://services.austintexas.gov/edims/document.cfm?id=456796,FY 2025-26 Fee Schedule Amendments,2025-10-01
Texas,Austin,Austin Transportation and Public Works,Transportation User Fee - Single-Family Home,per_unit,21.8,per month,Residential,Single-Family Home,,,,,Citywide,Monthly Transportation User Fee for Single-Family Home residential properties.,https://services.austintexas.gov/edims/document.cfm?id=456796,FY 2025-26 Fee Schedule Amendments,2025-10-01
Texas,Austin,Austin Transportation and Public Works,Transportation User Fee - Duplex,per_unit,19.62,per month,Residential,Duplex,,,,,Citywide,Monthly Transportation User Fee for Duplex residential properties.,https://services.austintexas.gov/edims/document.cfm?id=456796,FY 2025-26 Fee Schedule Amendments,2025-10-01
Texas,Austin,Austin Transportation and Public Works,Transportation User Fee - Fourplex,per_unit,16.57,per month,Residential,Fourplex,,,,,Citywide,Monthly Transportation User Fee for Fourplex residential properties.,https://services.austintexas.gov/edims/document.cfm?id=456796,FY 2025-26 Fee Schedule Amendments,2025-10-01
Texas,Austin,Austin Transportation and Public Works,Transportation User Fee - Garage Apartment,per_unit,21.8,per month,Residential,Garage Apartment,,,,,Citywide,Monthly Transportation User Fee for Garage Apartment residential properties.,https://services.austintexas.gov/edims/document.cfm?id=456796,FY 2025-26 Fee Schedule Amendments,2025-10-01
Texas,Austin,Austin Housing and Planning Department,North Burnet Gateway Development Bonus - Fee in Lieu,per_square_foot,8,per gross bonus square foot,Residential,,,,,,North Burnet Gateway Regulating District,Fee in lieu of providing affordable housing units for residential development in the North Burnet Gateway Regulating District.,https://www.austintexas.gov/sites/default/files/files/Housing_%26_Planning/Developer%20Incentive%20Matrix__01202023.pdf,Developer Incentive Matrix (Jan 2023),2009-01-01
Texas,Austin,Austin Housing and Planning Department,Downtown Density Bonus - Interim Fee (Residential Rainey Street),flat_fee,5,flat fee,Residential,,,,,,Rainey Street,Interim fee in lieu of providing affordable housing units for residential development in the Rainey Street district.,https://www.austintexas.gov/sites/default/files/files/Housing_%26_Planning/Developer%20Incentive%20Matrix__01202023.pdf,Developer Incentive Matrix (Jan 2023),2013-01-01
Texas,Austin,Austin Housing and Planning Department,Planned Unit Development Density Bonus - Fee in Lieu,per_square_foot,8,per gross bonus square foot,Residential,,,,,,Citywide (within PUDs),Fee in lieu of providing affordable housing units for residential development in Planned Unit Developments.,https://www.austintexas.gov/sites/default/files/files/Housing_%26_Planning/Developer%20Incentive%20Matrix__01202023.pdf,Developer Incentive Matrix (Jan 2023),2008-01-01
Texas,Austin,Austin Housing and Planning Department,University Neighborhood Overlay Density Bonus (Pre-2/24/14) - Fee in Lieu,per_square_foot,1,per net rentable square foot,Residential,,,,,,University Neighborhood Overlay District,"Fee in lieu of providing affordable housing units for residential development in the University Neighborhood Overlay District, for projects approved on or before February 24, 2014.",https://www.austintexas.gov/sites/default/files/files/Housing_%26_Planning/Developer%20Incentive%20Matrix__01202023.pdf,Developer Incentive Matrix (Jan 2023),2004-01-01
Texas,Austin,Austin Housing and Planning Department,"Downtown Density Bonus - Interim Fee (Residential CBD zoning, other than Rainey Street)",flat_fee,12,flat fee,Residential,,,,,,Central Business District,Interim fee in lieu of providing affordable housing units for residential development with CBD zoning other than Rainey Street.,https://www.austintexas.gov/sites/default/files/files/Housing_%26_Planning/Developer%20Incentive%20Matrix__01202023.pdf,Developer Incentive Matrix (Jan 2023),2013-01-01
Texas,Austin,Austin Housing and Planning Department,University Neighborhood Overlay Density Bonus (Post-2/24/14) - Fee in Lieu (Residential Use),per_square_foot,1,per net rentable square foot,Residential,,,,,,University Neighborhood Overlay District,"Fee in lieu of providing affordable housing units for residential development in the University Neighborhood Overlay District, for projects approved after February 24, 2014.",https://www.austintexas.gov/sites/default/files/files/Housing_%26_Planning/Developer%20Incentive%20Matrix__01202023.pdf,Developer Incentive Matrix (Jan 2023),2014-01-01
Texas,Austin,Austin Energy,Solar Inspection Fee - 101-200 kW,formula,,per kW,Residential,,,,101000,200000,Citywide,Solar Inspection Fee for systems between 101 kW and 200 kW.,https://www.austintexas.gov/sites/default/files/files/Development_Services/Fees_Residential.pdf,Residential Building Plan Review & Inspection Permit Fees (PDF),2025-10-01
Texas,Austin,Austin Energy,Solar Inspection Fee - 201-400 kW,formula,,per kW,Residential,,,,201000,400000,Citywide,Solar Inspection Fee for systems between 201 kW and 400 kW.,https://www.austintexas.gov/sites/default/files/files/Development_Services/Fees_Residential.pdf,Residential Building Plan Review & Inspection Permit Fees (PDF),2025-10-01
Texas,Austin,Austin Development Services,Tree Plan Review - New Construction,flat_fee,515.39,flat fee,Residential,,,,,,Citywide,Tree permit review fee for new construction.,https://www.austintexas.gov/sites/default/files/files/Development_Services/Fees_Residential.pdf,Residential Building Plan Review & Inspection Permit Fees (PDF),2025-10-01
Texas,Austin,Austin Energy,Solar Inspection Fee - above 800 kW,formula,,per kW,Residential,,,,800001,,Citywide,Solar Inspection Fee for systems above 800 kW.,https://www.austintexas.gov/sites/default/files/files/Development_Services/Fees_Residential.pdf,Residential Building Plan Review & Inspection Permit Fees (PDF),2025-10-01
