state_name,jurisdiction_name,agency_name,fee_name,calc_type,rate,unit_label,applies_to,use_subtype,min_units,max_units,min_sqft,max_sqft,service_area_name,description,source_url,legal_citation,effective_date
California,San Diego,Public Utilities Department,Monthly Utility Charge - Wastewater - 2029,per_unit,5.92,per dwelling unit,Residential,,,,,,Citywide,"Estimated monthly increase for Wastewater for typical single-family usage. Effective Jan 1, 2029.",https://www.sandiego.gov/public-utilities/customer-support/water-and-sewer-rates-increases,Water and Sewer Rates Increases page,2029-01-01
California,San Diego,Public Utilities Department,Monthly Utility Charge - Wastewater - 2027,per_unit,3.88,per dwelling unit,Residential,,,,,,Citywide,"Estimated monthly increase for Wastewater for typical single-family usage. Effective Jan 1, 2027.",https://www.sandiego.gov/public-utilities/customer-support/water-and-sewer-rates-increases,Water and Sewer Rates Increases page,2027-01-01
California,San Diego,Public Utilities Department,Monthly Utility Charge - Wastewater - 2028,per_unit,5.47,per dwelling unit,Residential,,,,,,Citywide,"Estimated monthly increase for Wastewater for typical single-family usage. Effective Jan 1, 2028.",https://www.sandiego.gov/public-utilities/customer-support/water-and-sewer-rates-increases,Water and Sewer Rates Increases page,2028-01-01
California,San Diego,Public Utilities Department,Monthly Utility Charge - Wastewater - 2026,per_unit,0.8,per dwelling unit,Residential,,,,,,Citywide,"Estimated monthly increase for Wastewater for typical single-family usage. Effective Jan 1, 2026.",https://www.sandiego.gov/public-utilities/customer-support/water-and-sewer-rates-increases,Water and Sewer Rates Increases page,2026-01-01
California,San Diego,Public Utilities Department,Monthly Utility Charge - Water - 2026,per_unit,1.29,per dwelling unit,Residential,,,,,,Citywide,"Estimated monthly increase for Water for typical single-family usage. Effective Jan 1, 2026.",https://www.sandiego.gov/public-utilities/customer-support/water-and-sewer-rates-increases,Water and Sewer Rates Increases page,2026-01-01
California,San Diego,Public Utilities Department,Monthly Utility Charge - CWA Rate Increase - 2026,per_unit,16.01,per dwelling unit,Residential,,,,,,Citywide,"Estimated monthly increase for CWA Rate for typical single-family usage. Effective Jan 1, 2026.",https://www.sandiego.gov/public-utilities/customer-support/water-and-sewer-rates-increases,Water and Sewer Rates Increases page,2026-01-01
California,San Diego,Public Utilities Department,Monthly Utility Charge - Water - 2027,per_unit,3.61,per dwelling unit,Residential,,,,,,Citywide,"Estimated monthly increase for Water for typical single-family usage. Effective Jan 1, 2027.",https://www.sandiego.gov/public-utilities/customer-support/water-and-sewer-rates-increases,Water and Sewer Rates Increases page,2027-01-01
California,San Diego,Public Utilities Department,Monthly Utility Charge - Water - 2029,per_unit,8.03,per dwelling unit,Residential,,,,,,Citywide,"Estimated monthly increase for Water for typical single-family usage. Effective Jan 1, 2029.",https://www.sandiego.gov/public-utilities/customer-support/water-and-sewer-rates-increases,Water and Sewer Rates Increases page,2029-01-01
California,San Diego,Public Utilities Department,Monthly Utility Charge - Water - 2028,per_unit,10.69,per dwelling unit,Residential,,,,,,Citywide,"Estimated monthly increase for Water for typical single-family usage. Effective Jan 1, 2028.",https://www.sandiego.gov/public-utilities/customer-support/water-and-sewer-rates-increases,Water and Sewer Rates Increases page,2028-01-01
California,San Diego,Public Utilities Department,Monthly Utility Charge - CWA Rate Increase - 2027,per_unit,13.27,per dwelling unit,Residential,,,,,,Citywide,"Estimated monthly increase for CWA Rate for typical single-family usage. Effective Jan 1, 2027.",https://www.sandiego.gov/public-utilities/customer-support/water-and-sewer-rates-increases,Water and Sewer Rates Increases page,2027-01-01
California,San Diego,Public Utilities Department,Monthly Utility Charge - CWA Rate Increase - 2029,per_unit,8.33,per dwelling unit,Residential,,,,,,Citywide,"Estimated monthly increase for CWA Rate for typical single-family usage. Effective Jan 1, 2029.",https://www.sandiego.gov/public-utilities/customer-support/water-and-sewer-rates-increases,Water and Sewer Rates Increases page,2029-01-01
